data,denominazione_regione,colore
2020-12-23,Lazio,giallo
2020-12-24,Lazio,rosso
2020-12-25,Lazio,rosso
2020-12-26,Lazio,rosso
2020-12-27,Lazio,rosso
2020-12-28,Lazio,arancione
2020-12-29,Lazio,arancione
2020-12-30,Lazio,arancione
2020-12-31,Lazio,rosso
2021-01-01,Lazio,rosso
2021-01-02,Lazio,rosso
2021-01-03,Lazio,rosso
2021-01-04,Lazio,arancione
2021-01-05,Lazio,rosso
2021-01-06,Lazio,rosso
2021-01-07,Lazio,giallo
2021-01-08,Lazio,giallo
2021-01-09,Lazio,arancione
2021-01-10,Lazio,arancione
2021-01-11,Lazio,giallo
2021-01-12,Lazio,giallo
2021-01-13,Lazio,giallo
2021-01-14,Lazio,giallo
2021-01-15,Lazio,giallo
2021-01-16,Lazio,giallo
2021-01-17,Lazio,arancione
2021-01-18,Lazio,arancione
2021-01-19,Lazio,arancione
2021-01-20,Lazio,arancione
2021-01-21,Lazio,arancione
2021-01-22,Lazio,arancione
2021-01-23,Lazio,arancione
2021-01-24,Lazio,arancione
2021-01-25,Lazio,arancione
2021-01-26,Lazio,arancione
2021-01-27,Lazio,arancione
2021-01-28,Lazio,arancione
2021-01-29,Lazio,arancione
2021-01-30,Lazio,arancione
2021-01-31,Lazio,arancione
2021-02-01,Lazio,giallo
2021-02-02,Lazio,giallo
2021-02-03,Lazio,giallo
2021-02-04,Lazio,giallo
2021-02-05,Lazio,giallo
2021-02-06,Lazio,giallo
2021-02-07,Lazio,giallo
2021-02-08,Lazio,giallo
2020-11-06,Liguria,giallo
2020-11-07,Liguria,giallo
2020-11-08,Liguria,giallo
2020-11-09,Liguria,giallo
2020-11-10,Liguria,arancione
2020-11-11,Liguria,arancione
2020-11-12,Liguria,arancione
2020-11-13,Liguria,arancione
2020-11-14,Liguria,arancione
2020-11-15,Liguria,arancione
2020-11-16,Liguria,arancione
2020-11-17,Liguria,arancione
2020-11-18,Liguria,arancione
2020-11-19,Liguria,arancione
2020-11-20,Liguria,arancione
2020-11-21,Liguria,arancione
2020-11-22,Liguria,arancione
2020-11-23,Liguria,arancione
2020-11-24,Liguria,arancione
2020-11-25,Liguria,arancione
2020-11-26,Liguria,arancione
2020-11-27,Liguria,arancione
2020-11-28,Liguria,arancione
2020-11-29,Liguria,giallo
2020-11-30,Liguria,giallo
2020-12-01,Liguria,giallo
2020-12-02,Liguria,giallo
2020-12-03,Liguria,giallo
2020-12-04,Liguria,giallo
2020-12-05,Liguria,giallo
2020-12-06,Liguria,giallo
2020-12-07,Liguria,giallo
2020-12-08,Liguria,giallo
2020-12-09,Liguria,giallo
2020-12-10,Liguria,giallo
2020-12-11,Liguria,giallo
2020-12-12,Liguria,giallo
2020-12-13,Liguria,giallo
2020-12-14,Liguria,giallo
2020-12-15,Liguria,giallo
2020-12-16,Liguria,giallo
2020-12-17,Liguria,giallo
2020-12-18,Liguria,giallo
2020-12-19,Liguria,giallo
2020-12-20,Liguria,giallo
2020-12-21,Liguria,giallo
2020-12-22,Liguria,giallo
2020-12-23,Liguria,giallo
2020-12-24,Liguria,rosso
2020-12-25,Liguria,rosso
2020-12-26,Liguria,rosso
2020-12-27,Liguria,rosso
2020-12-28,Liguria,arancione
2020-12-29,Liguria,arancione
2020-12-30,Liguria,arancione
2020-12-31,Liguria,rosso
2021-01-01,Liguria,rosso
2021-01-02,Liguria,rosso
2021-01-03,Liguria,rosso
2021-01-04,Liguria,arancione
2021-01-05,Liguria,rosso
2021-01-06,Liguria,rosso
2021-01-07,Liguria,giallo
2021-01-08,Liguria,giallo
2021-01-09,Liguria,arancione
2021-01-10,Liguria,arancione
2021-01-11,Liguria,giallo
2021-01-12,Liguria,giallo
2021-01-13,Liguria,giallo
2021-01-14,Liguria,giallo
2021-01-15,Liguria,giallo
2021-01-16,Liguria,giallo
2021-01-17,Liguria,arancione
2021-01-18,Liguria,arancione
2021-01-19,Liguria,arancione
2021-01-20,Liguria,arancione
2021-01-21,Liguria,arancione
2021-01-22,Liguria,arancione
2021-01-23,Liguria,arancione
2021-01-24,Liguria,arancione
2021-01-25,Liguria,arancione
2021-01-26,Liguria,arancione
2021-01-27,Liguria,arancione
2021-01-28,Liguria,arancione
2021-01-29,Liguria,arancione
2021-01-30,Liguria,arancione
2021-01-31,Liguria,arancione
2021-02-01,Liguria,giallo
2021-02-02,Liguria,giallo
2021-02-03,Liguria,giallo
2021-02-04,Liguria,giallo
2021-02-05,Liguria,giallo
2021-02-06,Liguria,giallo
2021-02-07,Liguria,giallo
2021-02-08,Liguria,giallo
2020-11-06,Lombardia,giallo
2020-11-07,Lombardia,giallo
2020-11-08,Lombardia,giallo
2020-11-09,Lombardia,giallo
2020-11-10,Lombardia,giallo
2020-11-11,Lombardia,giallo
2020-11-12,Lombardia,giallo
2020-11-13,Lombardia,giallo
2020-11-14,Lombardia,giallo
2020-11-15,Lombardia,giallo
2020-11-16,Lombardia,giallo
2020-11-17,Lombardia,giallo
2020-11-18,Lombardia,giallo
2020-11-19,Lombardia,giallo
2020-11-20,Lombardia,rosso
2020-11-21,Lombardia,rosso
2020-11-22,Lombardia,rosso
2020-11-23,Lombardia,rosso
2020-11-24,Lombardia,rosso
